,Unnamed: 0,text,author_name,created_at
0,0,@StonewallTabor I got the Samsung s20 plus with 5g and still crashed 2 times https://t.co/RHglkPIvC5,LTN STAN MLG PROO,7/25/2020 23:58
1,1,RT @MotorcycleTwitt: Samsung’s latest special edition phone is a BTS-branded Galaxy S20 Plus: #DeepLearning #IoT #BigData copy @MIKEQUINDAZ…,Annette Sophonie,7/25/2020 23:58
2,2,RT @MotorcycleTwitt: Samsung’s latest special edition phone is a BTS-branded Galaxy S20 Plus: #DeepLearning #IoT #BigData copy @MIKEQUINDAZ…,Arceo Choya,7/25/2020 23:58
3,3,"Poco X2 Launch Date, Samsung Galaxy A51 on Sale, Realme C3, and More Tech News This Week https://t.co/NXE4CWB3jw",Sach News Official,7/25/2020 23:58
4,4,"Got a Samsung tv and it has Fubo pre-programmed, so you KNOW I got @SoccerCooligans on the big screen! https://t.co/K3EqM4Jf7P",WolframGoatfish,7/25/2020 23:58
5,5,Samsung: Samsung Q9FN (2018) One Connect Box Upgrade To HDMI 2​.​1 - Sign the Petition! https://t.co/FlnoZuJKBw via @UKChange,Scott Thompson,7/25/2020 23:58
6,6,"@Chelseapaul23 @JurassicSparkz @TK_Lynx Yeah i have a Samsung tv same as that, smart tv, 4k and shit just different model 😂",The King ➐,7/25/2020 23:58
7,7,"RT @JCHANW00_: in a span of two years but managed to achieve so many amazing opportunities!! 

collab w Samsung &amp; Fortnite, a character ski…",𝙎𝙚𝙗𝙖𝙨𝙩𝙞𝙖𝙣♡︎,7/25/2020 23:58
8,8,@hajardean first phone samsung galaxy young,Dadaus,7/25/2020 23:58
9,9,Vic roy #samsung #galaxycup #galaxyscout https://t.co/g0AZEDokwO,NWH2005,7/25/2020 23:58
10,10,"@KerriChristian Samsung Galaxy S7, I think. 🤔

(It's a hand-me-down. 😊)",William Qualls,7/25/2020 23:58
11,11,"@Link1709 @Corea_JoseD @xnever_landx For example, this is the Paris Games week 2017 trailer. It’s all in game, I’ve… https://t.co/7ORYjHEtu5",🥧🏳️‍🌈a_space_alien🧠🎮,7/25/2020 23:58
12,12,RT @MotorcycleTwitt: Samsung’s latest special edition phone is a BTS-branded Galaxy S20 Plus: #DeepLearning #IoT #BigData copy @MIKEQUINDAZ…,Anthem Arnelle,7/25/2020 23:57
13,13,@iguides_ru Sponsored by Samsung,Baurjan,7/25/2020 23:56
14,14,"RT @LILIES_REPORT: Keep on REPORTING this account.
Lilies, please help report this account.Yesterday he slandered L*sa because L*sa was wor…",BEST RAPPER LISA⁰³²⁷,7/25/2020 23:56
15,15,"@_coldcoffeee Ngl, my Samsung years ago never really did me wrong. Maybe I should go back🤷🏼‍♀️",🐱,7/25/2020 23:56
16,16,"RT @JCHANW00_: in a span of two years but managed to achieve so many amazing opportunities!! 

collab w Samsung &amp; Fortnite, a character ski…",kujo,7/25/2020 23:56
17,17,@_ZoeTwoDots This was a free promo and ppl like Zoe manage to get extra code when many trainers were unable she sai… https://t.co/zFGiVnXG8D,RezaWang573,7/25/2020 23:56
18,18,"Samsung Galaxy A51 (Black, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers https://t.co/4ipw9AfUva",rikky mandal,7/25/2020 23:56
19,19,@FireMonkey__ If you could get a samsung emulator would it let you in the galaxy tournament? 🤔,Shadow UwUnator,7/25/2020 23:55
20,20,RT @junhwe131: Thank you to K-Pop sensation Chanwoo for getting iKON those fortnite and Samsung deal’s through his Youtube channel. Which o…,ᶜᶦᵉⁿⁿᵃ❤️ ||¦||¦¦,7/25/2020 23:55
21,21,@CallMeLucasYT It’s now my main phone but it’s a Samsung s10+ I used it for things like this lmao,🪐ju !,7/25/2020 23:55
22,22,@StonewallTabor I got disconnected from 4 games had to play Mobile on a Samsung s8 and still got 23 points I’m triggered,PlusTv,7/25/2020 23:55
23,23,Universal Remote Control for Samsung-TV-Remote All Samsung LCD LED HDTV 3D Smart TVs Models https://t.co/l0WMt5MEYl https://t.co/D9PXKspGVn,Sandra Floyd,7/25/2020 23:55
24,24,I've signed up at https://t.co/oooklzODqW to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Adella Mety Ria,7/25/2020 23:55
25,25,"RT @ALLinOniPhone: “If I don’t get an appointment right now, I’m switching to Samsung” https://t.co/hSDZw9MUKR",not chiane,7/25/2020 23:55
26,26,"RT @JCHANW00_: in a span of two years but managed to achieve so many amazing opportunities!! 

collab w Samsung &amp; Fortnite, a character ski…",mits,7/25/2020 23:55
27,27,New post: Samsung Galaxy M51 camera gets detailed https://t.co/nSyGRj55H4,Telecoms News UK,7/25/2020 23:54
28,28,RT @junhwe131: Thank you to K-Pop sensation Chanwoo for getting iKON those fortnite and Samsung deal’s through his Youtube channel. Which o…,CHANOV⚾,7/25/2020 23:54
29,29,(6.5ft/ 2m) 8K HDMI Ultra HD High Speed 48Gbps Cable Compatible with Apple TV Roku Netflix PS4 Pro Xbox One X Samsu… https://t.co/TKWsiJxvbD,Alisha Boehm,7/25/2020 23:54
30,30,Anyone selling a Z Flip? Dont say Swappa or Samsung. On Twitter only.,օʍaʀ αℓмαωєяι,7/25/2020 23:54
31,31,"Samsung (MZ-V7E500BW) 970 EVO SSD 500GB - M.2 NVMe Interface Internal Solid State Drive with V-NAND Technology, Bla… https://t.co/wAazDSPhuo",Dorcas Lane,7/25/2020 23:54
32,32,@Superlunarchick Please can you advise me what settings to use? Been trying to capture the night sky with my Samsun… https://t.co/iRRnUGfBkY,Ryan Jones,7/25/2020 23:54
33,33,Video: The Gadgets 360 Show: Samsung’s Serif TV https://t.co/cOS6uqELww,Sach News Official,7/25/2020 23:54
34,34,"RT @LILIES_REPORT: Keep on REPORTING this account.
Lilies, please help report this account.Yesterday he slandered L*sa because L*sa was wor…",Gamom ⚜⁰³²⁷,7/25/2020 23:54
35,35,"RT @kcmartghdotcom: Now in stock. 

Samsung Crystal UHD 2020 Smart Tizen powered TV. 
Ai TV, with Apple Airplay, Apple HomeKit and Google H…",B A🖤✨,7/25/2020 23:54
36,36,Galaxy Note 20 Ultra will not have an upgraded 108MP sensor #GalaxyNote20Ultra #Samsung #news #GalaxyNote20 https://t.co/e732PRb1b6,Giz China,7/25/2020 23:54
37,37,RT @ATLDofficial: Leak reveals Galaxy Buds Live – Samsung’s AirPods competitors https://t.co/UWJt0Ipztl,Arrio Gonsalves,7/25/2020 23:53
38,38,I've signed up at https://t.co/drVg3xzfCm to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Meteorcell,7/25/2020 23:53
39,39,"RT @jiminscloset1: 200725 | GalaxyMobileJP Twitter update with Jimin

- Samsung x BTS Galaxy Buds+, Concept 8 and Acne Studios

#JIMIN #지민 …",양도찜,7/25/2020 23:53
40,40,@Taesayys Samsung,⟭⟬호겅석 ツ,7/25/2020 23:53
41,41,@sasoukm @44Dk4l Vive Samsung,Shanks Le Rebeu 🇲🇦,7/25/2020 23:53
42,42,@TitusPeterson13 Ya the Samsung,Kaleb Barnett,7/25/2020 23:53
43,43,"@RRocic Samsung A40, A20",Niko Bellic,7/25/2020 23:53
44,44,with current rumours on specs #note20 will be Samsung biggest failure... #GalaxyUnpacked .. #note20lite ...,I AM R*V,7/25/2020 23:52
45,45,I've signed up at https://t.co/rWyGdH1szX to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Amir  Burhannudin,7/25/2020 23:52
46,46,...Galaxy M51 releases because its the last refresh Samsung has before we start seeing leaks! Stay very tuned!,Anthony,7/25/2020 23:52
47,47,"As the Galaxy M31s is coming to a launch on July 30 and the Galaxy M51 is also close, we are getting VERY close at… https://t.co/bgETUYSJW3",Anthony,7/25/2020 23:52
48,48,@hyunjxls Samsung,𝐄𝐦𝐢𝐥𝐥𝐲⁷𓆙,7/25/2020 23:52
49,49,"USB C Cable Fast Charging 3A Fast Charge - 2 PK / 6.6FT, AINOPE USB-A to Type-C Charger Cable,Durable Braided Armor… https://t.co/9HTD9ryaMQ",Leona Haefele,7/25/2020 23:52
50,50,Switched from iPhone to Samsung and I gotta say this phone is way nicer even though its taking some time to get used to,zac,7/25/2020 23:51
51,51,"GETIHU Portable Charger, LED Display 10000mAh Power Bank, 4.8A 2 USB Ports High-Speed Battery Pack with Flashlight,… https://t.co/aRguuj9AUJ",Dorothy Rash,7/25/2020 23:51
52,52,Samsung S10 or LG G8?,Lano 🇻🇨,7/25/2020 23:51
53,53,"2019 - Brightburn

#film #movie #brightburn #2019 #1000movies #samsung #hd #uhd #4k #july #2020 #davidyarovesky… https://t.co/L6554ClzVc",José Damiani,7/25/2020 23:51
54,54,"RT @JCHANW00_: in a span of two years but managed to achieve so many amazing opportunities!! 

collab w Samsung &amp; Fortnite, a character ski…",WINKON_TH,7/25/2020 23:51
55,55,"RT @JCHANW00_: in a span of two years but managed to achieve so many amazing opportunities!! 

collab w Samsung &amp; Fortnite, a character ski…",ᶜᶦᵉⁿⁿᵃ❤️ ||¦||¦¦,7/25/2020 23:51
56,56,"RT @oghene_gareh: I now sell uk used gadgets ranging from iPhones to Samsung phones, digital cameras, laptops, AirPods, apple watches and P…",Coco Mami💞🔥,7/25/2020 23:50
57,57,meu spotify so coloca o anuncio do samsung feat bts,mi SUA DAY,7/25/2020 23:50
58,58,Samsung Wired Earphones with Headset 👉 BUY NOW : https://t.co/wj4jVzHnzS https://t.co/ouijlmB3tU,Regine Godefroy,7/25/2020 23:50
59,59,"Check out this huge list of cell phones, and smart phones! MANY brands, and styles to choose from! Pick yours now!… https://t.co/QVovKqtyHE",affiliateproductspro,7/25/2020 23:50
60,60,"@KarenAttiah I use my phone, Samsung Health app allows you to measure 02 sat. An oximeter is probably better but us… https://t.co/FT7zC7fuLe",Alice Moyo,7/25/2020 23:50
61,61,I've signed up at https://t.co/aKJ2BS8zi2 to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,S h o f,7/25/2020 23:49
62,62,Iphone // Samsung https://t.co/Q3egc3ZhNN,Biruta,7/25/2020 23:49
63,63,"Adaptive Fast Charging Wall Charger Adapter Compatible Samsung Galaxy S6 S7 S8 S9 S10 / Edge/Plus/Active, Note 5,No… https://t.co/LD1Opx3zLB",Tanisha Jones,7/25/2020 23:49
64,64,"Samsung Galaxy Watch smartwatch 
(46mm, GPS, Bluetooth)
 https://t.co/PzDgOJ4xZc via @amazon 
#SamsungGalaxy #WATCH… https://t.co/uNYV37x0Ke",neTEye View,7/25/2020 23:49
65,65,Universal Remote Control for All Samsung LCD LED HDTV 3D Smart TVs https://t.co/XSJYOisvdh https://t.co/JqqkC4lJWS,Alisha Boehm,7/25/2020 23:49
66,66,Samsung Galaxy Buds (2019) SM-R170 Bluetooth Earbuds for Android Smartphones (Black) https://t.co/12cP2P0BT4 https://t.co/jkbsCwhNDo,Gloria Roman,7/25/2020 23:49
67,67,@rycrist How's the fridge holding up? I've been looking into one but my brother says he's heard samsung fridges mes… https://t.co/CTxKaqUWc8,Viki,7/25/2020 23:49
68,68,"RT @MBA_Phone_Store: Hello 
I have SAMSUNG S9+ 
 
*BRAND NEW 

*64GB+6GIG RAM 

*DUAL SIM 

✅PLACE YOUR  ORDER 
✅Shop Live OR Online 
✅Nati…",,7/25/2020 23:48
69,69,these HDTV companies are GIVING their shits away in this pandemic I swear. 55” 4K joints going for $500 and shit. s… https://t.co/PjrSte9ees,Phillmati¢,7/25/2020 23:48
70,70,YAMAY Smart Watch 2020 Ver. Watches for Men Women Fitness Tracker Blood Pressure Monitor Blood Oxygen Meter Heart R… https://t.co/mag3rzbKIF,imran khan,7/25/2020 23:48
71,71,Samsung PRO Endurance 128GB 100MB/s (U1) MicroSDXC Memory Card with Adapter (MB-MJ128GA/AM) https://t.co/nm5bcUKppi https://t.co/NN1Yvy7saf,Erna Lehman,7/25/2020 23:48
72,72,THE UNIVERSE DOESNT WANT ME TO GET ANOTHER SAMSUNG WTFF????,「 oomba!!⁷🇲🇽」,7/25/2020 23:48
73,73,"RT @FatKidDeals: 4k HDR Smart TVs on sale! 
43"" $229 https://t.co/sbbhb6YgS7    
 
50"" $269 https://t.co/145RBq0eoo

55"" Dolby Vision &amp; Atm…",A Babe 🌸,7/25/2020 23:48
74,74,@SamsungMobile Why do Samsung still using this shitty metalic pink?,🎷,7/25/2020 23:48
75,75,That’s some awful resolution.  Was that photo taken on a Samsung Windows phone from 2003? https://t.co/b1LF3P5duk,PCreight,7/25/2020 23:48
76,76,I've signed up at https://t.co/ZBBCoS0B9f to get a Powerful yet Playful change in the Next Galaxy. Now it's your turn! #SamsungEvent,Husnanda Aditya,7/25/2020 23:48
77,77,@CatalystMain26 U don't need Samsung it's android and samsing,☀️Josemay X🏖️,7/25/2020 23:47
78,78,RT @TSM_Myth: Going live on Twitch for the Fortnite Galaxy Cup! https://t.co/Oj9M025ooF Join now to watch some gameplay and learn how you c…,Robert Boyle,7/25/2020 23:47
79,79,"Samsung Galaxy S10 S-View Flip Case, Black https://t.co/CfZLi4Ud00",NewsAAA.Com,7/25/2020 23:47
80,80,"@Ileane Wow, haven't used my new iPhone much yet as I'm in the habit of picking up the Samsung first! hehe 
🙃",Ros Boundy,7/25/2020 23:47
81,81,"@swanhwangh Ew Samsung
Hahahahah just kidding nice dude",~felix~,7/25/2020 23:47
